VegHit_SoilSurfaceHit,Longevity,Habit,WIS_GP,Nativity,Freq2,prop
Agropyron cristatum,Perennial,Graminoid,UPL,Introduced,2,0.002386635
Ambrosia trifida,Annual,Forb,FAC,Native,5,0.005966587
Apocynum cannabinum,Perennial,Forb,FAC,Native,5,0.005966587
Arctium minus,Biennial,Forb,FACU,Introduced,2,0.002386635
Artemisia ludoviciana,Perennial,Forb,UPL,Native,2,0.002386635
Asclepias speciosa,Perennial,Forb,FAC,Native,1,0.001193317
Bromus inermis,Perennial,Graminoid,UPL,Introduced,199,0.237470167
Bromus tectorum,Annual,Graminoid,UPL,Introduced,16,0.019093079
Carex emoryi,Perennial,Graminoid,OBL,Native,22,0.026252983
Carex sp.,Perennial,Graminoid,,Native,3,0.003579952
Celtis occidentalis,Perennial,Woody,FACU,Introduced,1,0.001193317
Chenopodium album,Annual,Forb,FACU,Introduced,1,0.001193317
Chorispora tenella,Annual,Forb,UPL,Introduced,3,0.003579952
Cirsium arvense,Perennial,Forb,FACU,Introduced,45,0.053699284
Convolvulus arvensis,Perennial,Forb,UPL,Introduced,38,0.045346062
Conyza canadensis,Annual,Forb,FACU,Introduced,1,0.001193317
Dactylis glomerata,Perennial,Graminoid,FACU,Introduced,34,0.040572792
Elymus repens,Perennial,Graminoid,FACU,Introduced,92,0.109785203
Euonymus europaeus,Perennial,Woody,,Introduced,3,0.003579952
Euphorbia esula,Perennial,Forb,UPL,Introduced,2,0.002386635
Fraxinus pennsylvanica,Perennial,Woody,FAC,Native,1,0.001193317
Glycyrrhiza lepidota,Perennial,Forb,FACU,Native,1,0.001193317
Hordeum murinum,Annual,Graminoid,FACU,Introduced,1,0.001193317
Juniperus scopulorum,Perennial,Woody,UPL,Native,2,0.002386635
Lactuca serriola,Variable,Forb,FAC,Introduced,6,0.007159905
Medicago lupulina,Annual,Forb,FACU,Introduced,1,0.001193317
Medicago sativa,Perennial,Forb,UPL,Introduced,12,0.014319809
Mentha spicata,Perennial,Forb,FACW,Introduced,3,0.003579952
Mirabilis nyctaginea,Perennial,Forb,UPL,Native,3,0.003579952
NULL,,,,,5,0.005966587
Parthenocissus vitacea,Perennial,Woody,FAC,Native,23,0.027446301
Persicaria sp.,Perennial,Forb,FACW,,6,0.007159905
Phalaris arundinacea,Perennial,Graminoid,FACW,Native,119,0.142004773
Plantago major,Perennial,Forb,FAC,Introduced,1,0.001193317
Poa bulbosa,Perennial,Graminoid,FACU,Introduced,1,0.001193317
Poa pratensis,Perennial,Graminoid,FACU,Introduced,6,0.007159905
Populus acuminata,Perennial,Woody,FAC,Native,1,0.001193317
Prunus tomentosa,Perennial,Woody,,Introduced,1,0.001193317
Prunus virginiana,Perennial,Woody,FACU,Native,9,0.010739857
Ranunculus sceleratus,Perennial,Forb,OBL,Native,1,0.001193317
Rhamnus cathartica,Perennial,Woody,FACU,Introduced,27,0.03221957
Rosa sp.,Perennial,Woody,,Introduced,3,0.003579952
Rumex crispus,Perennial,Forb,FAC,Introduced,10,0.011933174
Sagittaria sp.,Perennial,Forb,OBL,Native,2,0.002386635
Salix exigua ssp. exigua,Perennial,Woody,FACW,Native,2,0.002386635
Schedonorus arundinaceus,Perennial,Graminoid,FACU,Introduced,16,0.019093079
Schoenoplectus tabernaemontani,Perennial,Graminoid,OBL,Native,1,0.001193317
Scorzonera laciniata,Variable,Forb,UPL,Introduced,2,0.002386635
Solidago gigantea,Perennial,Forb,FAC,Native,2,0.002386635
Sonchus oleraceus,Annual,Forb,UPL,Introduced,1,0.001193317
Symphoricarpos occidentalis,Perennial,Woody,UPL,Native,14,0.016706444
Symphyotrichum lanceolatum ssp. hesperium,Perennial,Forb,FACW,Native,23,0.027446301
Taraxacum officinale,Perennial,Forb,FACU,Introduced,37,0.044152745
Tragopogon dubius,Variable,Forb,UPL,Introduced,3,0.003579952
Typha angustifolia,Perennial,Forb,OBL,Native,4,0.00477327
Typha latifolia,Perennial,Forb,OBL,Native,5,0.005966587
Ulmus pumila,Perennial,Woody,UPL,Introduced,5,0.005966587
Verbascum thapsus,Variable,Forb,UPL,Introduced,1,0.001193317
