Baseline,Transect,Total Hits,UPL,FACU,FAC,FACW,OBL,UPL prop,FACU prop,FAC prop,FACW prop,OBL prop
B10,B10-0,56,13,0,16,0,27,0.232,0.000,0.286,0.000,0.482
B10,B10-12.5,48,23,2,9,0,14,0.479,0.042,0.188,0.000,0.292
B10,B10-25,48,13,19,11,4,1,0.271,0.396,0.229,0.083,0.021
B10,B10-37.5,69,23,3,26,12,5,0.333,0.043,0.377,0.174,0.072
B10,B10-50,18,8,1,9,0,0,0.444,0.056,0.500,0.000,0.000
B13,B13-0,57,9,2,28,10,8,0.158,0.035,0.491,0.175,0.140
B13,B13-12.5,48,19,15,4,0,10,0.396,0.313,0.083,0.000,0.208
B13,B13-25,14,9,3,0,0,2,0.643,0.214,0.000,0.000,0.143
B13,B13-35.5,20,14,5,1,0,0,0.700,0.250,0.050,0.000,0.000
B13,B13-50,31,24,7,0,0,0,0.774,0.226,0.000,0.000,0.000
B14,B14-0,43,3,11,24,5,0,0.070,0.256,0.558,0.116,0.000
B14,B14-12.5,68,7,0,24,35,2,0.103,0.000,0.353,0.515,0.029
B14,B14-25,72,25,10,12,15,10,0.347,0.139,0.167,0.208,0.139
B14,B14-36.5,43,20,18,1,3,1,0.465,0.419,0.023,0.070,0.023
B14,B14-50,43,4,23,16,0,0,0.093,0.535,0.372,0.000,0.000
B15,B15-0,51,6,2,19,17,7,0.118,0.039,0.373,0.333,0.137
B15,B15-14,89,24,0,14,36,15,0.270,0.000,0.157,0.404,0.169
B15,B15-25,65,14,0,7,40,4,0.215,0.000,0.108,0.615,0.062
B15,B15-37.5,49,21,1,7,13,7,0.429,0.020,0.143,0.265,0.143
B15,B15-50,51,27,2,10,11,1,0.529,0.039,0.196,0.216,0.020
B17,B17-0,46,4,0,30,12,0,0.087,0.000,0.652,0.261,0.000
B17,B17-12.5,57,26,1,9,17,4,0.456,0.018,0.158,0.298,0.070
B17,B17-25,48,20,0,9,19,0,0.417,0.000,0.188,0.396,0.000
B17,B17-37.5,39,16,0,13,10,0,0.410,0.000,0.333,0.256,0.000
B17,B17-50,18,9,7,1,1,0,0.500,0.389,0.056,0.056,0.000
B18,B18-0,47,10,0,10,27,0,0.213,0.000,0.213,0.574,0.000
B18,B18-12.5,44,19,0,3,18,4,0.432,0.000,0.068,0.409,0.091
B18,B18-25,44,26,0,5,8,5,0.591,0.000,0.114,0.182,0.114
B18,B18-37.5,39,22,1,3,12,1,0.564,0.026,0.077,0.308,0.026
B18,B18-50,46,17,1,13,10,5,0.370,0.022,0.283,0.217,0.109
B3,B3-0,13,5,8,0,0,0,0.385,0.615,0.000,0.000,0.000
B3,B3-10,53,17,21,15,0,0,0.321,0.396,0.283,0.000,0.000
B3,B3-20,74,27,31,12,2,2,0.365,0.419,0.162,0.027,0.027
B3,B3-29,13,7,6,0,0,0,0.538,0.462,0.000,0.000,0.000
B3,B3-41,22,18,3,1,0,0,0.818,0.136,0.045,0.000,0.000
B5,B5-0,27,22,3,0,0,2,0.815,0.111,0.000,0.000,0.074
B5,B5-12.5,34,2,18,6,0,8,0.059,0.529,0.176,0.000,0.235
B5,B5-25,34,29,2,0,0,3,0.853,0.059,0.000,0.000,0.088
B5,B5-37.5,28,5,3,18,0,2,0.179,0.107,0.643,0.000,0.071
B5,B5-50,47,32,1,7,0,7,0.681,0.021,0.149,0.000,0.149
B7,B7-0,35,11,10,10,0,4,0.314,0.286,0.286,0.000,0.114
B7,B7-12.5,25,2,3,20,0,0,0.080,0.120,0.800,0.000,0.000
B7,B7-25,30,20,2,8,0,0,0.667,0.067,0.267,0.000,0.000
B7,B7-37.5,36,2,13,20,1,0,0.056,0.361,0.556,0.028,0.000
B7,B7-50,27,1,22,3,1,0,0.037,0.815,0.111,0.037,0.000
